rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	longitud	latitud
232	12	s20260603_171500936084_706	2	12	3854	2611	2922	3134	1715	1809	2284	2660	-44.199	-20.144
233	12	s20260603_171500936084_706	2	12	3872	2727	2746	2874	1964	2176	2376	2754	-44.199	-20.144
234	12	s20260603_171500936084_706	2	12	3692	2616	3180	3423	1625	1882	2222	3703	-44.199	-20.144
235	12	s20260603_171500936084_706	2	12	3737	2572	2985	3214	1435	1766	2080	3198	-44.199	-20.144
236	12	s20260603_171500936084_706	2	12	3743	2664	3108	3316	2124	2200	2326	3219	-44.200	-20.143
237	12	s20260603_171500936084_706	2	12	3695	2670	3114	3320	1908	2346	2628	3770	-44.199	-20.143
238	12	s20260603_171500936084_706	2	12	3776	2644	3123	3350	1655	1944	2440	3175	-44.199	-20.144
239	12	s20260603_171500936084_706	2	12	3864	2561	3184	3507	1867	1918	2068	3160	-44.200	-20.143
240	13	s20260603_171510977118_351	2	13	4107	2912	3491	3764	2482	2998	3018	4195	-44.197	-20.152
241	13	s20260603_171510977118_351	2	13	4109	2907	3522	3589	1955	2346	2658	3517	-44.197	-20.153
242	13	s20260603_171510977118_351	2	13	4073	2829	3509	3674	1648	1854	2194	3286	-44.197	-20.152
243	13	s20260603_171510977118_351	2	13	4166	3291	3417	3721	1533	1783	2058	3023	-44.197	-20.153
244	13	s20260603_171510977118_351	2	13	4169	2888	3420	3619	1506	1814	1843	3837	-44.197	-20.152
245	13	s20260603_171510977118_351	2	13	4155	2979	3545	3776	2020	2244	2750	4317	-44.197	-20.152
246	13	s20260603_171510977118_351	2	13	4081	2612	3443	3569	1504	1882	2450	3580	-44.197	-20.153
247	13	s20260603_171510977118_351	2	13	4112	2571	3262	3536	1338	1589	1720	3503	-44.197	-20.153
248	13	s20260603_171510977118_351	2	13	4152	2656	3169	3222	1653	1885	2146	2853	-44.197	-20.152
249	13	s20260603_171510977118_351	2	13	4071	2992	3406	3519	2132	2526	2792	3298	-44.197	-20.153
250	13	s20260603_171510977118_351	2	13	4088	3092	3774	3952	1569	2012	2272	3993	-44.197	-20.153
251	13	s20260603_171510977118_351	2	13	4059	2660	3235	3642	1384	1644	1886	3023	-44.197	-20.153
252	13	s20260603_171510977118_351	2	13	4123	2842	3449	3512	2002	2320	2828	3338	-44.197	-20.153
