rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	Longitud	Latitud
135	3	s20260528_110617811174_79	3	3	3289	2473	4309	4791	1387	1877	1554	4736	-4.420.835.224	-2.012.582.792
136	3	s20260528_110617811174_79	3	3	3329	2512	4339	4807	1386	1888	1538	4800	-4.420.859.316	-2.012.604.399
137	3	s20260528_110617811174_79	3	3	3392	2494	4388	4841	1425	1856	1600	4892	-4.420.845.682	-2.012.650.000
138	3	s20260528_110617811174_79	3	3	3254	2434	4295	4705	1384	1834	1564	4717	-4.420.845.769	-2.012.554.376
139	3	s20260528_110617811174_79	3	3	3201	2473	4304	4708	1396	1878	1540	4715	-4.420.895.545	-2.012.553.156
140	3	s20260528_110617811174_79	3	3	3303	2480	4322	4789	1402	1854	1568	4813	-4.420.849.395	-2.012.581.485
141	3	s20260528_110617811174_79	3	3	3332	2513	4365	4815	1390	1902	1582	4779	-4.420.837.727	-2.012.610.075
142	3	s20260528_110617811174_79	3	3	3251	2455	4295	4734	1381	1864	1542	4747	-4.420.849.829	-2.012.542.064
143	3	s20260528_110617811174_79	3	3	3406	2512	4410	4880	1450	1901	1632	4929	-4.420.850.661	-2.012.654.894
144	3	s20260528_110617811174_79	3	3	3293	2462	4261	4709	1368	1844	1538	4676	-4.420.814.376	-2.012.556.363
145	3	s20260528_110617811174_79	3	3	3282	2460	4297	4758	1410	1846	1556	4759	-4.420.842.138	-2.012.573.353
146	3	s20260528_110617811174_79	3	3	3324	2513	4349	4818	1411	1866	1556	4820	-4.420.845.261	-2.012.603.881
147	3	s20260528_110617811174_79	3	3	3330	2481	4249	4700	1394	1881	1574	4756	-4.420.809.747	-2.012.558.403
148	3	s20260528_110617811174_79	3	3	3269	2445	4260	4710	1379	1858	1538	4713	-4.420.838.033	-2.012.562.740
149	3	s20260528_110617811174_79	3	3	3375	2491	4317	4762	1405	1840	1583	4710	-4.420.845.816	-2.012.629.106
150	4	s20260528_110804284476_254	4	4	2486	1911	1965	2029	1316	1459	1710	1878	-4.412.150.797	-2.013.856.541
151	4	s20260528_110804284476_254	4	4	2321	1853	1917	1929	1295	1435	1684	1794	-4.412.142.154	-2.012.753.474
152	4	s20260528_110804284476_254	4	4	2459	1995	2031	2086	1381	1548	1830	1961	-4.411.538.313	-2.013.466.031
153	4	s20260528_110804284476_254	4	4	2414	1885	1955	1982	1335	1489	1756	1868	-4.412.336.367	-2.012.376.866
154	4	s20260528_110804284476_254	4	4	1902	1645	1672	1679	1264	1411	1509	1545	-4.412.402.355	-2.012.872.249
155	4	s20260528_110804284476_254	4	4	2094	1730	1825	1789	1290	1421	1602	1638	-4.412.444.491	-2.012.490.704
156	4	s20260528_110804284476_254	4	4	2419	2015	2073	2078	1438	1618	1897	2004	-4.411.587.825	-2.013.405.634
157	4	s20260528_110804284476_254	4	4	2899	2438	2551	2595	1512	1746	2252	2505	-4.412.021.337	-2.013.706.087
158	4	s20260528_110804284476_254	4	4	2466	1949	2008	2028	1332	1487	1790	1959	-4.412.122.798	-2.013.092.918
159	4	s20260528_110804284476_254	4	4	2368	1929	1990	1992	1337	1488	1760	1855	-4.412.256.571	-2.012.444.483
160	4	s20260528_110804284476_254	4	4	2203	1738	1774	1799	1237	1363	1567	1658	-4.412.269.671	-2.012.552.297
